Date (Weeks Starting 1st day of Year),Merchant,MV - Accepted (MCCY)
1/1/17,BARNEYS NEW YORK,11082
1/1/17,NORDSTROM,66166
1/1/17,SAKS.COM,91384
1/2/17,BARNEYS NEW YORK,19256
1/2/17,NORDSTROM,96286
1/2/17,SAKS.COM,69740
1/3/17,BARNEYS NEW YORK,19375
1/3/17,NORDSTROM,105711
1/3/17,SAKS.COM,70221
1/4/17,BARNEYS NEW YORK,15745
1/4/17,NORDSTROM,96431
1/4/17,SAKS.COM,85225
1/5/17,BARNEYS NEW YORK,3872
1/5/17,NORDSTROM,85889
1/5/17,SAKS.COM,66941
1/6/17,BARNEYS NEW YORK,24526
1/6/17,NORDSTROM,97831
1/6/17,SAKS.COM,76136
1/7/17,BARNEYS NEW YORK,10392
1/7/17,NORDSTROM,87766
1/7/17,SAKS.COM,74864
1/8/17,BARNEYS NEW YORK,6659
1/8/17,NORDSTROM,100050
1/8/17,SAKS.COM,74242
1/9/17,BARNEYS NEW YORK,21019
1/9/17,NORDSTROM,82917
1/9/17,SAKS.COM,68133
1/10/17,BARNEYS NEW YORK,22657
1/10/17,NORDSTROM,79001
1/10/17,SAKS.COM,104634
1/11/17,BARNEYS NEW YORK,21877
1/11/17,NORDSTROM,80325
1/11/17,SAKS.COM,90597
1/12/17,BARNEYS NEW YORK,21309
1/12/17,NORDSTROM,78116
1/12/17,SAKS.COM,82431
1/13/17,BARNEYS NEW YORK,18796
1/13/17,NORDSTROM,85677
1/13/17,SAKS.COM,103754
1/14/17,BARNEYS NEW YORK,12563
1/14/17,NORDSTROM,83277
1/14/17,SAKS.COM,92741
1/15/17,BARNEYS NEW YORK,18666
1/15/17,NORDSTROM,83742
1/15/17,SAKS.COM,69632
1/16/17,BARNEYS NEW YORK,14498
1/16/17,NORDSTROM,83584
1/16/17,SAKS.COM,88636
1/17/17,BARNEYS NEW YORK,9750
1/17/17,NORDSTROM,91363
1/17/17,SAKS.COM,88775
1/18/17,BARNEYS NEW YORK,16733
1/18/17,NORDSTROM,81529
1/18/17,SAKS.COM,85270
1/19/17,BARNEYS NEW YORK,20668
1/19/17,NORDSTROM,81509
1/19/17,SAKS.COM,65114
1/20/17,BARNEYS NEW YORK,16642
1/20/17,NORDSTROM,76227
1/20/17,SAKS.COM,80741
1/21/17,BARNEYS NEW YORK,26140
1/21/17,NORDSTROM,90102
1/21/17,SAKS.COM,69504
1/22/17,BARNEYS NEW YORK,30228
1/22/17,NORDSTROM,78076
1/22/17,SAKS.COM,62560
1/23/17,BARNEYS NEW YORK,17107
1/23/17,NORDSTROM,91276
1/23/17,SAKS.COM,62391
1/24/17,BARNEYS NEW YORK,16870
1/24/17,NORDSTROM,75035
1/24/17,SAKS.COM,73659
1/25/17,BARNEYS NEW YORK,23438
1/25/17,NORDSTROM,78697
1/25/17,SAKS.COM,70023
1/26/17,BARNEYS NEW YORK,22911
1/26/17,NORDSTROM,84163
1/26/17,SAKS.COM,78236
1/27/17,BARNEYS NEW YORK,13376
1/27/17,NORDSTROM,73867
1/27/17,SAKS.COM,66268
1/28/17,BARNEYS NEW YORK,16763
1/28/17,NORDSTROM,70442
1/28/17,SAKS.COM,44375
1/29/17,BARNEYS NEW YORK,12684
1/29/17,NORDSTROM,95794
1/29/17,SAKS.COM,51686
1/30/17,BARNEYS NEW YORK,10497
1/30/17,NORDSTROM,82036
1/30/17,SAKS.COM,74134
1/31/17,BARNEYS NEW YORK,13824
1/31/17,NORDSTROM,71942
1/31/17,SAKS.COM,65936
2/1/17,BARNEYS NEW YORK,16467
2/1/17,NORDSTROM,90996
2/1/17,SAKS.COM,61220
2/2/17,BARNEYS NEW YORK,8105
2/2/17,NORDSTROM,85680
2/2/17,SAKS.COM,71047
2/3/17,BARNEYS NEW YORK,12914
2/3/17,NORDSTROM,83934
2/3/17,SAKS.COM,69748
2/4/17,BARNEYS NEW YORK,14371
2/4/17,NORDSTROM,92309
2/4/17,SAKS.COM,64791
2/5/17,BARNEYS NEW YORK,16512
2/5/17,NORDSTROM,102086
2/5/17,SAKS.COM,62444
2/6/17,BARNEYS NEW YORK,14668
2/6/17,NORDSTROM,96433
2/6/17,SAKS.COM,71758
2/7/17,BARNEYS NEW YORK,21116
2/7/17,NORDSTROM,91481
2/7/17,SAKS.COM,66819
2/8/17,BARNEYS NEW YORK,24401
2/8/17,NORDSTROM,82193
2/8/17,SAKS.COM,87118
2/9/17,BARNEYS NEW YORK,14111
2/9/17,NORDSTROM,100655
2/9/17,SAKS.COM,67843
2/10/17,BARNEYS NEW YORK,17014
2/10/17,NORDSTROM,88503
2/10/17,SAKS.COM,70087
2/11/17,BARNEYS NEW YORK,12093
